stop_id,route_id,n_departures,avg_headway
200501006,2466,33,3.6363636363636362
200508003,1967,25,4.8
200508005,2466,32,3.75
200508011,1967,25,4.8
200508012,1967,25,4.8
200508015,1967,24,5.0
200508015,263,7,17.142857142857142
200508015,276,8,15.0
200508016,1967,25,4.8
200508016,263,7,17.142857142857142
200508016,276,9,13.333333333333334
200602001,1967,25,4.8
200602002,1967,25,4.8
200602003,1967,25,4.8
200801001,1946,15,8.0
200801001,258,15,8.0
200801002,257,16,7.5
200801003,1946,15,8.0
200801003,257,16,7.5
200801003,258,15,8.0
200801004,257,16,7.5
200801005,1946,15,8.0
200801005,257,9,13.333333333333334
200801005,258,15,8.0
200801008,1946,15,8.0
200801008,257,16,7.5
200801008,258,15,8.0
200801011,1946,15,8.0
200801011,258,15,8.0
200802001,1946,15,8.0
200802001,258,15,8.0
200802002,1946,14,8.571428571428571
200802002,258,15,8.0
200802004,1946,15,8.0
200802004,258,15,8.0
200802005,1946,14,8.571428571428571
200802005,258,15,8.0
200901002,257,17,7.0588235294117645
200901003,258,16,7.5
200901003,263,8,15.0
200901004,258,16,7.5
200901004,263,8,15.0
200901004,278,6,20.0
200901007,257,16,7.5
200901008,278,6,20.0
200901011,258,16,7.5
200901011,263,8,15.0
200901011,278,6,20.0
200901013,278,6,20.0
200901014,258,16,7.5
200901014,263,8,15.0
200901015,258,16,7.5
200901015,263,8,15.0
200901016,258,16,7.5
200901016,263,8,15.0
200901016,278,6,20.0
200901017,258,16,7.5
200901017,263,8,15.0
200901017,278,12,10.0
200901018,278,12,10.0
200901019,278,12,10.0
200901020,258,16,7.5
200901020,263,8,15.0
200901020,278,6,20.0
200901022,278,12,10.0
200901024,270,25,4.8
200901025,278,12,10.0
200901026,278,6,20.0
200901033,257,16,7.5
201001001,257,16,7.5
201001002,1946,15,8.0
201001002,257,16,7.5
201001002,258,16,7.5
201001003,1946,15,8.0
201001003,257,17,7.0588235294117645
201001003,258,15,8.0
201001004,1946,6,20.0
201001004,257,8,15.0
201001004,258,7,17.142857142857142
201003001,258,15,8.0
201003002,1946,14,8.571428571428571
201003002,258,15,8.0
201003004,1946,14,8.571428571428571
201003004,258,8,15.0
201004002,1946,14,8.571428571428571
201004002,258,16,7.5
201004003,258,15,8.0
220701004,274,4,30.0
220701006,274,8,15.0
220701007,274,8,15.0
220701013,274,4,30.0
220701015,274,8,15.0
220701019,274,8,15.0
221107003,1947,7,17.142857142857142
221107003,265,12,10.0
221107004,268,13,9.23076923076923
221107006,268,13,9.23076923076923
221107007,268,13,9.23076923076923
900000011,272,8,15.0
